Aggregated Auction Results;;;;;;;;;;;;;
;;;;;;;;;;;;;
Number of Participants to the Auction;23;;;;;;;;;;;;
;;;;;;;;;;;;;
Région / Region;Technologie / Technology;Total Volume Auctionned;Total Volume Sold;Weighted Average Price (€ / MWh);My Total Volume;My Weighted Average Price (€ / MWh);Number of winners per couple region/technology;;;;;;
Auvergne-Rhône-Alpes;Eolien onshore;52345;52345;0,62;-;-;4;;;;;;
Auvergne-Rhône-Alpes;Hydraulique;85967;85967;0,74;-;-;8;;;;;;
Auvergne-Rhône-Alpes;Solaire;69798;69798;0,71;-;-;9;;;;;;
Auvergne-Rhône-Alpes;Thermique;39718;39718;0,62;-;-;4;;;;;;
Bourgogne-Franche-Comté;Eolien onshore;79126;79126;0,7;-;-;5;;;;;;
Bourgogne-Franche-Comté;Hydraulique;7413;7413;0,62;-;-;2;;;;;;
Bourgogne-Franche-Comté;Solaire;21014;21014;0,87;-;-;2;;;;;;
Bourgogne-Franche-Comté;Thermique;17815;17815;0,57;-;-;1;;;;;;
Bretagne;Eolien onshore;82093;82093;0,66;-;-;7;;;;;;
Bretagne;Hydraulique;427;427;0,61;-;-;1;;;;;;
Bretagne;Solaire;6342;6342;0,63;-;-;2;;;;;;
Bretagne;Thermique;21262;21262;0,57;-;-;1;;;;;;
Centre-Val de Loire;Eolien onshore;101121;101121;0,7;-;-;4;;;;;;
Centre-Val de Loire;Hydraulique;496;496;0,61;-;-;1;;;;;;
Centre-Val de Loire;Solaire;21440;21440;0,73;-;-;4;;;;;;
Centre-Val de Loire;Thermique;16202;16202;0,57;-;-;1;;;;;;
Grand Est;Eolien onshore;283743;283743;0,68;-;-;10;;;;;;
Grand Est;Hydraulique;14301;14301;0,62;-;-;2;;;;;;
Grand Est;Solaire;36613;36613;0,65;-;-;5;;;;;;
Grand Est;Thermique;56811;56811;0,59;-;-;4;;;;;;
Haut-de-France;Eolien onshore;406591;406591;0,69;-;-;12;;;;;;
